"","idGame","slugTeam","namePlayer","groupStartPosition","isStarter","idTeam","idPlayer","fgm","fga","pctFG","fg3m","fg3a","pctFG3","pctFT","fg2m","fg2a","pctFG2","cityTeam","teamName","minExact","ftm","fta","oreb","dreb","treb","ast","stl","blk","tov","pf","pts","plusminus"
"88",22000606,"IND","Cassius Stanley",NA,FALSE,1610612754,1630199,1,2,0.5,0,1,0,0,1,1,1,"Indiana","Cassius",1.48333333333333,0,0,0,1,1,0,0,0,0,0,2,2
"89",22000606,"IND","Brian Bowen II",NA,FALSE,1610612754,1628968,0,0,0,0,0,0,0,0,0,0,"Indiana","Brian",1.48333333333333,0,0,0,0,0,0,0,0,0,0,0,2
"90",22000606,"DEN","Michael Porter Jr.","F",TRUE,1610612743,1629008,9,15,0.6,0,4,0,1,9,11,0.818181818181818,"Denver","Michael",30.55,2,2,3,5,8,1,0,1,0,2,20,15
"91",22000606,"DEN","Paul Millsap","F",TRUE,1610612743,200794,3,7,0.429,0,1,0,0,3,6,0.5,"Denver","Paul",24.6833333333333,0,0,1,6,7,2,0,1,1,5,6,7
"92",22000606,"DEN","Nikola Jokic","C",TRUE,1610612743,203999,11,25,0.44,2,4,0.5,0.8,9,21,0.428571428571429,"Denver","Nikola",34.2333333333333,8,10,6,8,14,5,4,1,1,2,32,-9
"93",22000606,"DEN","Will Barton","G",TRUE,1610612743,203115,6,16,0.375,5,7,0.714285714285714,0.75,1,9,0.111111111111111,"Denver","Will",38.8666666666667,3,4,1,5,6,5,1,2,1,1,20,18
"94",22000606,"DEN","Jamal Murray","G",TRUE,1610612743,1627750,6,13,0.462,3,5,0.6,1,3,8,0.375,"Denver","Jamal",36.1666666666667,1,1,3,3,6,8,0,0,3,0,16,12
"95",22000606,"DEN","PJ Dozier",NA,FALSE,1610612743,1628408,3,5,0.6,1,1,1,1,2,4,0.5,"Denver","PJ",24.5666666666667,2,2,0,4,4,3,0,1,3,0,9,18
"96",22000606,"DEN","JaMychal Green",NA,FALSE,1610612743,203210,6,10,0.6,4,6,0.666666666666667,0,2,4,0.5,"Denver","JaMychal",17.6666666666667,0,0,2,1,3,1,0,1,0,2,16,5
"97",22000606,"DEN","Facundo Campazzo",NA,FALSE,1610612743,1630267,0,3,0,0,0,0,0,0,3,0,"Denver","Facundo",21.5333333333333,0,0,1,2,3,6,2,0,1,1,0,16
"98",22000606,"DEN","Isaiah Hartenstein",NA,FALSE,1610612743,1628392,0,1,0,0,0,0,0,0,1,0,"Denver","Isaiah",4.31666666666667,0,0,0,2,2,0,0,0,0,1,0,3
"99",22000606,"DEN","Markus Howard",NA,FALSE,1610612743,1630210,0,0,0,0,0,0,0,0,0,0,"Denver","Markus",1.48333333333333,0,0,0,1,1,1,0,0,0,1,0,-2
"100",22000606,"DEN","Bol Bol",NA,FALSE,1610612743,1629626,0,1,0,0,0,0,0,0,1,0,"Denver","Bol",1.48333333333333,0,0,0,0,0,0,0,0,0,0,0,-2
"101",22000606,"DEN","Zeke Nnaji",NA,FALSE,1610612743,1630192,1,1,1,0,0,0,0,1,1,1,"Denver","Zeke",1.48333333333333,0,0,0,0,0,0,0,0,0,0,2,-2
"102",22000606,"DEN","Greg Whittington",NA,FALSE,1610612743,204222,0,0,0,0,0,0,0,0,0,0,"Denver","Greg",1.48333333333333,0,0,0,0,0,0,0,0,0,0,0,-2
"103",22000606,"DEN","Vlatko Cancar",NA,FALSE,1610612743,1628427,0,0,0,0,0,0,0,0,0,0,"Denver","Vlatko",1.48333333333333,0,0,0,0,0,0,0,0,0,0,0,-2
